Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","Hand1_Smooth_2.9x5.8mm",60.000000,-207.000000,0.000000,top
"G***","LOGO","Hand1_Smooth_2.9x5.8mm",60.000000,-213.000000,0.000000,top
"G***","LOGO","BeeHive_Icon_6.3x5.8mm",95.000000,-199.000000,0.000000,top
"G***","LOGO","Panic2_5.8x5.8mm",80.000000,-199.000000,0.000000,top
"G***","LOGO","HoneyDrop_Icon_4x5.8mm",125.000000,-199.000000,0.000000,top
"G***","LOGO","TermiteQueen_Fill_13x25mm",110.000000,-168.000000,0.000000,top
"G***","LOGO","TermiteQueen_Outline_13x25mm",110.000000,-168.000000,0.000000,top
"G***","LOGO","TermiteQueen_Inline_13x25mm",110.000000,-168.000000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",42.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",52.500000,-232.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",42.500000,-227.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",42.500000,-222.500000,0.000000,top
"G***","LOGO","TermiteQueen_Outline_13x25mm_Eco1",110.000000,-168.000000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",42.500000,-192.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",42.500000,-217.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",42.500000,-212.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",42.500000,-207.500000,0.000000,top
"G***","LOGO","Floral_Tile_5x5mm",42.500000,-202.500000,0.000000,top
"Q1","MMBT3904","SOT-23",130.750000,-187.750000,0.000000,top
"Q2","MMBT3904","SOT-23",97.250000,-187.750000,270.000000,top
"R0","LRV_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",95.000000,-125.000000,180.000000,top
"R1","WSP_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",54.000000,-77.000000,90.000000,top
"R2","O_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",54.000000,-73.000000,270.000000,top
"R3","LRV_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",110.000000,-125.000000,180.000000,top
"R4","WSP_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",74.000000,-77.000000,90.000000,top
"R5","O_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",74.000000,-73.000000,270.000000,top
"R6","LRV_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",125.000000,-125.000000,180.000000,top
"R7","WSP_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",44.000000,-94.000000,90.000000,top
"R8","O_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",44.000000,-90.000000,270.000000,top
"R9","LRV_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",135.000000,-135.000000,90.000000,top
"R10","WSP_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",64.000000,-94.000000,90.000000,top
"R11","O_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",64.000000,-90.000000,270.000000,top
"R12","LRV_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",135.000000,-150.000000,90.000000,top
